"","spot","siteid","GRIDID","x","y","FF","MD","FW","FO","WL","UB","WB","BU","BL","ELE","ELEMAX","ELEMIN","ELERA","ELESD","Slope","Aspect","ASR","dog","cat","total","buffer","year","worktime","species","count","OI","diet","nest","porpotion_ground_diet","porpotion_mud_diet","porpotion_ground_nest","porpotion_slope_nest"
"19","LD88A","A03-12","3826_263812",311500,2727500,62201.43111,98753.06536,0,818763.548,0,0,0,20281.9555,0,249.342246,347,157,190,55.16968297,19.64204,331.401062,1505.361264,1,0,1,FALSE,2021,4968,"dog",10,2.01288244766506,"ground","ground",0.195266272189349,0.21301775147929,0.0236686390532544,0.0591715976331361
"20","NT35","B32-13","3826_211242",241500,2622500,0,0,0,1e+06,0,0,0,0,0,1683.778966,1965,1444,521,102.7704084,31.36696,277.2896729,1574.313703,1,0,1,FALSE,2018,768,"dog",0,0,"ground","ground",NA,NA,NA,NA
"21","NT35","B32-13","3826_211242",241500,2622500,0,0,0,1e+06,0,0,0,0,0,1683.778966,1965,1444,521,102.7704084,31.36696,277.2896729,1574.313703,1,0,1,FALSE,2019,3504,"dog",1,0.285388127853881,"ground","ground",NA,NA,NA,NA
"22","NT35","B32-13","3826_211242",241500,2622500,0,0,0,1e+06,0,0,0,0,0,1683.778966,1965,1444,521,102.7704084,31.36696,277.2896729,1574.313703,1,0,1,FALSE,2020,7176,"dog",8,1.11482720178372,"ground","ground",NA,NA,NA,NA
"23","NT35","B32-13","3826_211242",241500,2622500,0,0,0,1e+06,0,0,0,0,0,1683.778966,1965,1444,521,102.7704084,31.36696,277.2896729,1574.313703,1,0,1,FALSE,2021,4560,"dog",2,0.43859649122807,"ground","ground",NA,NA,NA,NA
"24","IL-04","A33-29","3826_218224",223500,2636500,532548.2556,56061.04961,162961.8705,192367.7747,0,0,0,56061.04961,0,198.2093664,239,161,78,20.5579265,6.24671,182.474762,1608.081416,1,0,1,FALSE,2015,5095.44,"dog",14,2.74755467633806,"ground","ground",0.222222222222222,0.222222222222222,NA,NA
"25","陽明機1","A04-72","3826_292805",304500,2785500,13119.7563,5408.034155,0,976064.1754,0,0,0,5408.034155,0,748.3010381,920,646,274,60.059495,18.84346,211.1931458,1651.451584,0,1,4,FALSE,2010,1234.01,"dog",0,0,"ground","ground",NA,NA,NA,NA
"26","陽明機1","A04-72","3826_292805",304500,2785500,13119.7563,5408.034155,0,976064.1754,0,0,0,5408.034155,0,748.3010381,920,646,274,60.059495,18.84346,211.1931458,1651.451584,0,1,4,FALSE,2011,757.01,"dog",0,0,"ground","ground",NA,NA,NA,NA
"27","TD29","A08-05","3826_118808",307500,2437500,0,0,0,1e+06,0,0,0,0,0,178.4875223,326,37,289,69.59314105,19.57554,160.0495148,1570.673559,0,1,1,FALSE,2019,4920,"dog",0,0,"ground","ground",NA,NA,NA,NA
"28","TD29","A08-05","3826_118808",307500,2437500,0,0,0,1e+06,0,0,0,0,0,178.4875223,326,37,289,69.59314105,19.57554,160.0495148,1570.673559,0,1,1,FALSE,2020,8064,"dog",0,0,"ground","ground",NA,NA,NA,NA
"29","TD29","A08-05","3826_118808",307500,2437500,0,0,0,1e+06,0,0,0,0,0,178.4875223,326,37,289,69.59314105,19.57554,160.0495148,1570.673559,0,1,1,FALSE,2021,5544,"dog",0,0,"ground","ground",NA,NA,NA,NA
"30","中肚機1","A27-43","3826_239210",209500,2678500,326365.6506,230751.8193,0,61557.91395,0,0,0,61557.91395,319766.7022,287.271836,321,228,93,23.58691006,7.33558,105.136116,1603.002255,3,1,4,FALSE,2021,855.16,"dog",1,1.16937181346181,"ground","ground",0.307017543859649,0.307017543859649,NA,NA
"31","中肚機4","A27-43","3826_239210",209500,2678500,326365.6506,230751.8193,0,61557.91395,0,0,0,61557.91395,319766.7022,287.271836,321,228,93,23.58691006,7.33558,105.136116,1603.002255,3,1,4,FALSE,2021,298.33,"dog",2,6.70398551939128,"ground","ground",0.307017543859649,0.307017543859649,NA,NA
"32","中肚機5","A27-43","3826_239210",209500,2678500,326365.6506,230751.8193,0,61557.91395,0,0,0,61557.91395,319766.7022,287.271836,321,228,93,23.58691006,7.33558,105.136116,1603.002255,3,1,4,FALSE,2021,831,"dog",0,0,"ground","ground",0.307017543859649,0.307017543859649,NA,NA
"33","中科機2","A27-43","3826_239210",209500,2678500,326365.6506,230751.8193,0,61557.91395,0,0,0,61557.91395,319766.7022,287.271836,321,228,93,23.58691006,7.33558,105.136116,1603.002255,3,1,4,FALSE,2020,6846,"dog",20,2.92141396435875,"ground","ground",0.307692307692308,0.307692307692308,NA,NA
"34","中科機2","A27-43","3826_239210",209500,2678500,326365.6506,230751.8193,0,61557.91395,0,0,0,61557.91395,319766.7022,287.271836,321,228,93,23.58691006,7.33558,105.136116,1603.002255,3,1,4,FALSE,2021,764.2,"dog",9,11.7770217220623,"ground","ground",0.307017543859649,0.307017543859649,NA,NA
"35","萬壽機1","A04-70","3826_282309",308500,2764500,156448.1085,42667.66597,1822.751953,184105.8961,0,572287.9115,0,42667.66597,0,50.87611408,142,18,124,22.87347552,10.20018,307.6593933,1545.047169,1,1,1,FALSE,2014,1117.58,"dog",1,0.894790529537035,"ground","ground",NA,NA,NA,NA
"36","萬壽機1","A04-70","3826_282309",308500,2764500,156448.1085,42667.66597,1822.751953,184105.8961,0,572287.9115,0,42667.66597,0,50.87611408,142,18,124,22.87347552,10.20018,307.6593933,1545.047169,1,1,1,FALSE,2015,780.33,"dog",0,0,"ground","ground",NA,NA,NA,NA
"37","中機A4","A04-52","3826_285312",311500,2770500,345929.8137,6658.666498,0,490807.769,0,149945.0842,0,6658.666498,0,51.95155709,157,12,145,33.27152225,11.98115,21.4768734,1517.438265,6,4,6,FALSE,2012,1208.5,"dog",16,13.2395531650807,"ground","ground",NA,NA,NA,NA
"38","中機A4","A04-52","3826_285312",311500,2770500,345929.8137,6658.666498,0,490807.769,0,149945.0842,0,6658.666498,0,51.95155709,157,12,145,33.27152225,11.98115,21.4768734,1517.438265,6,4,6,FALSE,2013,4339.6,"dog",62,14.2870310627708,"ground","ground",NA,NA,NA,NA
"39","中機A4","A04-52","3826_285312",311500,2770500,345929.8137,6658.666498,0,490807.769,0,149945.0842,0,6658.666498,0,51.95155709,157,12,145,33.27152225,11.98115,21.4768734,1517.438265,6,4,6,FALSE,2014,312.33,"dog",31,99.25399417283,"ground","ground",NA,NA,NA,NA
"40","中機B1","A04-52","3826_285312",311500,2770500,345929.8137,6658.666498,0,490807.769,0,149945.0842,0,6658.666498,0,51.95155709,157,12,145,33.27152225,11.98115,21.4768734,1517.438265,6,4,6,FALSE,2012,1208.5,"dog",58,47.9933802234175,"ground","ground",NA,NA,NA,NA
"41","中機B1","A04-52","3826_285312",311500,2770500,345929.8137,6658.666498,0,490807.769,0,149945.0842,0,6658.666498,0,51.95155709,157,12,145,33.27152225,11.98115,21.4768734,1517.438265,6,4,6,FALSE,2013,4300,"dog",201,46.7441860465116,"ground","ground",NA,NA,NA,NA
"42","中機B1","A04-52","3826_285312",311500,2770500,345929.8137,6658.666498,0,490807.769,0,149945.0842,0,6658.666498,0,51.95155709,157,12,145,33.27152225,11.98115,21.4768734,1517.438265,6,4,6,FALSE,2014,2047.5,"dog",79,38.5836385836386,"ground","ground",NA,NA,NA,NA
"43","中機C5","A04-52","3826_285312",311500,2770500,345929.8137,6658.666498,0,490807.769,0,149945.0842,0,6658.666498,0,51.95155709,157,12,145,33.27152225,11.98115,21.4768734,1517.438265,6,4,6,FALSE,2012,1139,"dog",7,6.14574187884109,"ground","ground",NA,NA,NA,NA
"44","中機C5","A04-52","3826_285312",311500,2770500,345929.8137,6658.666498,0,490807.769,0,149945.0842,0,6658.666498,0,51.95155709,157,12,145,33.27152225,11.98115,21.4768734,1517.438265,6,4,6,FALSE,2013,663,"dog",1,1.50829562594268,"ground","ground",NA,NA,NA,NA
"45","中機C7","A04-52","3826_285312",311500,2770500,345929.8137,6658.666498,0,490807.769,0,149945.0842,0,6658.666498,0,51.95155709,157,12,145,33.27152225,11.98115,21.4768734,1517.438265,6,4,6,FALSE,2013,2858.47,"dog",360,125.94150017317,"ground","ground",NA,NA,NA,NA
"46","中機C7","A04-52","3826_285312",311500,2770500,345929.8137,6658.666498,0,490807.769,0,149945.0842,0,6658.666498,0,51.95155709,157,12,145,33.27152225,11.98115,21.4768734,1517.438265,6,4,6,FALSE,2014,323.33,"dog",70,216.497077289457,"ground","ground",NA,NA,NA,NA
"47","中機C8","A04-52","3826_285312",311500,2770500,345929.8137,6658.666498,0,490807.769,0,149945.0842,0,6658.666498,0,51.95155709,157,12,145,33.27152225,11.98115,21.4768734,1517.438265,6,4,6,FALSE,2013,4219,"dog",7,1.65916093861105,"ground","ground",NA,NA,NA,NA
"48","中機C9","A04-52","3826_285312",311500,2770500,345929.8137,6658.666498,0,490807.769,0,149945.0842,0,6658.666498,0,51.95155709,157,12,145,33.27152225,11.98115,21.4768734,1517.438265,6,4,6,FALSE,2013,902.16,"dog",0,0,"ground","ground",NA,NA,NA,NA
"49","中機C9","A04-52","3826_285312",311500,2770500,345929.8137,6658.666498,0,490807.769,0,149945.0842,0,6658.666498,0,51.95155709,157,12,145,33.27152225,11.98115,21.4768734,1517.438265,6,4,6,FALSE,2014,1307,"dog",3,2.29533282325937,"ground","ground",NA,NA,NA,NA
"50","鯉魚機2","A28-18","3826_246727",226500,2693500,114594.4478,0,0,885405.5522,0,0,0,0,0,286.7370242,372,191,181,45.13160356,15.08083,259.1426697,1604.353471,1,1,1,FALSE,2017,2400.25,"dog",8,3.33298614727633,"ground","ground",NA,NA,NA,NA
"51","後機1","A27-07","3826_262231",230500,2724500,673954.4962,298352.2289,0,0,0,27693.2749,0,0,0,53.78460208,85,22,63,13.47056788,6.10485,240.3349915,1565.624211,1,1,2,FALSE,2012,3015.16,"dog",2,0.663314716300296,"ground","ground",0.226890756302521,0.226890756302521,0.0504201680672269,0.0504201680672269
"52","後機2","A27-07","3826_262231",230500,2724500,673954.4962,298352.2289,0,0,0,27693.2749,0,0,0,53.78460208,85,22,63,13.47056788,6.10485,240.3349915,1565.624211,1,1,2,FALSE,2012,1459.66,"dog",0,0,"ground","ground",0.226890756302521,0.226890756302521,0.0504201680672269,0.0504201680672269
"53","桃園機3","A09-43","3826_286781",280500,2773500,238116.3754,64940.82966,0,632001.9653,0,0,0,64940.82966,0,140.0864528,181,89,92,19.01375368,10.12572,297.7062378,1559.944061,3,3,3,FALSE,2019,6061.53,"dog",13,2.14467304459435,"ground","ground",0.0403225806451613,0.0403225806451613,0.0161290322580645,0.0161290322580645
"54","國一甲機1","A09-02","3826_285782",281500,2771500,79908.49011,9896.266479,0,748605.702,0,151693.2749,0,9896.266479,0,145.150519,206,92,114,28.05105037,12.01954,241.4459686,1580.972586,3,2,3,FALSE,2019,4780.83,"dog",0,0,"ground","ground",0.0333333333333333,0.0333333333333333,NA,NA
"55","桃園機1","A09-02","3826_285782",281500,2771500,79908.49011,9896.266479,0,748605.702,0,151693.2749,0,9896.266479,0,145.150519,206,92,114,28.05105037,12.01954,241.4459686,1580.972586,3,2,3,FALSE,2019,6262.43,"dog",6,0.958094541575714,"ground","ground",0.0333333333333333,0.0333333333333333,NA,NA
"56","桃園機12","A09-02","3826_285782",281500,2771500,79908.49011,9896.266479,0,748605.702,0,151693.2749,0,9896.266479,0,145.150519,206,92,114,28.05105037,12.01954,241.4459686,1580.972586,3,2,3,FALSE,2019,6197.76,"dog",48,7.74473358116481,"ground","ground",0.0333333333333333,0.0333333333333333,NA,NA
"57","桃園機14","A09-43","3826_286781",280500,2773500,238116.3754,64940.82966,0,632001.9653,0,0,0,64940.82966,0,140.0864528,181,89,92,19.01375368,10.12572,297.7062378,1559.944061,3,3,3,FALSE,2019,6122.2,"dog",100,16.3339975825684,"ground","ground",0.0403225806451613,0.0403225806451613,0.0161290322580645,0.0161290322580645
"58","桃園機2","A09-43","3826_286781",280500,2773500,238116.3754,64940.82966,0,632001.9653,0,0,0,64940.82966,0,140.0864528,181,89,92,19.01375368,10.12572,297.7062378,1559.944061,3,3,3,FALSE,2019,6261.9,"dog",26,4.1520944122391,"ground","ground",0.0403225806451613,0.0403225806451613,0.0161290322580645,0.0161290322580645
"59","燕機2_1","A34-26","3826_157687",186500,2515500,719572.097,37115.26241,0,206197.3782,0,0,0,37115.26241,0,85.20855615,163,32,131,30.92235111,12.47442,324.0241394,1528.145306,4,1,4,FALSE,2013,604.66,"dog",5,8.26910991300896,"ground","ground",0.255813953488372,0.255813953488372,0.0232558139534884,0.0232558139534884
"60","燕機2_2","A34-26","3826_157687",186500,2515500,719572.097,37115.26241,0,206197.3782,0,0,0,37115.26241,0,85.20855615,163,32,131,30.92235111,12.47442,324.0241394,1528.145306,4,1,4,FALSE,2013,1978.33,"dog",5,2.52738420789252,"ground","ground",0.255813953488372,0.255813953488372,0.0232558139534884,0.0232558139534884
"61","燕機2之1","A34-26","3826_157687",186500,2515500,719572.097,37115.26241,0,206197.3782,0,0,0,37115.26241,0,85.20855615,163,32,131,30.92235111,12.47442,324.0241394,1528.145306,4,1,4,FALSE,2014,203,"dog",6,29.5566502463054,"ground","ground",0.256880733944954,0.256880733944954,NA,0.018348623853211
"62","燕機2之1","A34-26","3826_157687",186500,2515500,719572.097,37115.26241,0,206197.3782,0,0,0,37115.26241,0,85.20855615,163,32,131,30.92235111,12.47442,324.0241394,1528.145306,4,1,4,FALSE,2015,1935.66,"dog",24,12.3988717026751,"ground","ground",NA,NA,NA,NA
"63","燕機2之2","A34-26","3826_157687",186500,2515500,719572.097,37115.26241,0,206197.3782,0,0,0,37115.26241,0,85.20855615,163,32,131,30.92235111,12.47442,324.0241394,1528.145306,4,1,4,FALSE,2014,202,"dog",0,0,"ground","ground",0.256880733944954,0.256880733944954,NA,0.018348623853211
"64","燕機2之2","A34-26","3826_157687",186500,2515500,719572.097,37115.26241,0,206197.3782,0,0,0,37115.26241,0,85.20855615,163,32,131,30.92235111,12.47442,324.0241394,1528.145306,4,1,4,FALSE,2015,1935.9,"dog",9,4.64900046490005,"ground","ground",NA,NA,NA,NA
"65","烏砂機1","A05-22","3826_273804",303500,2747500,0,0,0,1e+06,0,0,0,0,0,379.8044983,710,199,511,129.2219792,29.36703,312.7067261,1357.689269,3,3,3,FALSE,2019,2776.75,"dog",2,0.720266498604484,"ground","ground",NA,NA,NA,NA
"66","烏砂機2","A05-22","3826_273804",303500,2747500,0,0,0,1e+06,0,0,0,0,0,379.8044983,710,199,511,129.2219792,29.36703,312.7067261,1357.689269,3,3,3,FALSE,2019,4564.4,"dog",3,0.657260538077294,"ground","ground",NA,NA,NA,NA
"67","沙崙機1","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2014,6261.1,"dog",14,2.23602881282842,"ground","ground",0.380952380952381,0.380952380952381,NA,0.00529100529100529
"68","沙崙機1","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2015,8339.38,"dog",70,8.39390937935434,"ground","ground",0.345238095238095,0.357142857142857,0.0119047619047619,0.0119047619047619
"69","沙崙機1","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2016,7418.7,"dog",18,2.426301103967,"ground","ground",0.383116883116883,0.383116883116883,NA,NA
"70","沙崙機1","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2017,3320,"dog",54,16.2650602409639,"ground","ground",0.281879194630872,0.288590604026846,0.00671140939597315,0.00671140939597315
"71","沙崙機1","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2018,3715.5,"dog",6,1.61485668146952,"ground","ground",0.333333333333333,0.333333333333333,NA,0.00628930817610063
"72","沙崙機1","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2019,6071.77,"dog",5,0.823483102950211,"ground","ground",0.311688311688312,0.318181818181818,0.00649350649350649,0.0194805194805195
"73","沙崙機1","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2020,6016.23,"dog",5,0.831085247738202,"ground","ground",0.371428571428571,0.371428571428571,NA,NA
"74","沙崙機1","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2021,5151,"dog",9,1.7472335468841,"ground","ground",0.356521739130435,0.356521739130435,NA,0.00869565217391304
"75","沙崙機2","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2013,157,"dog",0,0,"ground","ground",0.406896551724138,0.406896551724138,NA,0.00689655172413793
"76","沙崙機2","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2014,3618.23,"dog",9,2.48740406220721,"ground","ground",0.380952380952381,0.380952380952381,NA,0.00529100529100529
"77","沙崙機2","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2015,5708.15,"dog",81,14.1902367667283,"ground","ground",0.345238095238095,0.357142857142857,0.0119047619047619,0.0119047619047619
"78","沙崙機3","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2013,157,"dog",2,12.7388535031847,"ground","ground",0.406896551724138,0.406896551724138,NA,0.00689655172413793
"79","沙崙機3","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2014,7192.78,"dog",54,7.50752838262814,"ground","ground",0.380952380952381,0.380952380952381,NA,0.00529100529100529
"80","沙崙機3","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2015,7983.12,"dog",262,32.8192486145768,"ground","ground",0.345238095238095,0.357142857142857,0.0119047619047619,0.0119047619047619
"81","沙崙機3","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2016,5571.97,"dog",14,2.5125763419401,"ground","ground",0.383116883116883,0.383116883116883,NA,NA
"82","沙崙機3","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2017,3769.5,"dog",59,15.6519432285449,"ground","ground",0.281879194630872,0.288590604026846,0.00671140939597315,0.00671140939597315
"83","沙崙機4","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2013,157,"dog",1,6.36942675159236,"ground","ground",0.406896551724138,0.406896551724138,NA,0.00689655172413793
"84","沙崙機4","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2014,6669.3,"dog",17,2.54899314770666,"ground","ground",0.380952380952381,0.380952380952381,NA,0.00529100529100529
"85","沙崙機4","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2015,8760,"dog",127,14.4977168949772,"ground","ground",0.345238095238095,0.357142857142857,0.0119047619047619,0.0119047619047619
"86","沙崙機4","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2016,6195.37,"dog",41,6.61784526186491,"ground","ground",0.383116883116883,0.383116883116883,NA,NA
"87","沙崙機4","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2017,8131.75,"dog",56,6.8865865281151,"ground","ground",0.281879194630872,0.288590604026846,0.00671140939597315,0.00671140939597315
"88","沙崙機4","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2018,8759.8,"dog",2,0.228315714970661,"ground","ground",0.333333333333333,0.333333333333333,NA,0.00628930817610063
"89","沙崙機4","A09-52","3826_293294",293500,2786500,300417.2583,0,372394.4907,0,0,327188.251,0,0,0,22.26203209,56,8,48,8.645677444,4.37163,264.8201599,1552.252262,7,7,7,FALSE,2019,8759.6,"dog",36,4.10977670213252,"ground","ground",0.311688311688312,0.318181818181818,0.00649350649350649,0.0194805194805195
